headline,section,locations,word_count,snippet,source,subjects,url,date,type,id
Putin vs. the Jailed Tycoon: Defining Russia's New Rules,World; Front Page,[u'RUSSIA'],2085,"The collision between Russia's most powerful politician, President Vladimir V. Putin, and its richest businessman, Mikhail B. Khodorkovsky, had been brewing for months when Mr. Khodorkovsky took the step that more than any other landed him in pris...",The New York Times,"[u'FRAUDS AND SWINDLING', u'POLITICS AND GOVERNMENT', u'ETHICS', u'FREEDOM AND HUMAN RIGHTS']",http://www.nytimes.com/2004/01/02/world/putin-vs-the-jailed-tycoon-defining-russia-s-new-rules.html,1/2/04,News,4fd27aa38eb7c8105d83f1ff
NEWS SUMMARY,New York and Region,[],1133,INTERNATIONAL   A3-10    Libya Reminds U.S. Of Sanctions Deadline  Libya's prime minister said America should act to reward his country for abandoning its secret programs to develop dangerous weapons and warned that if sanctions were not lifted by...,The New York Times,[],http://www.nytimes.com/2004/01/02/nyregion/news-summary-804878.html,1/2/04,Summary,4fd24f178eb7c8105d7f19a9
Offshore Services Grow in Lean Times,Business,[],1667,"When Procter & Gamble employees forget a computer password or need to change the number of dependents they claim for tax purposes, they call one of three places: Manila; San Jose, Costa Rica; or Newcastle, England.    Procter & Gamble, with about ...",The New York Times,"[u'WHITE COLLAR WORKERS', u'FOREIGN LABOR', u'LABOR', u'WAGES AND SALARIES', u'CONSULTANTS', u'UNEMPLOYMENT']",http://www.nytimes.com/2004/01/03/business/offshore-services-grow-in-lean-times.html,1/3/04,News,4fd235238eb7c8105d7c67ce
Manufacturing Index Reaches 20-Year High,Business,[],782,"An index of American manufacturing surged to its highest level in 20 years last month, providing another sign that the economic revival that began in the second half of last year should continue this year.    The country's manufacturing sector, wh...",The New York Times,"[u'LABOR', u'UNITED STATES ECONOMY', u'UNEMPLOYMENT', u'FACTORIES AND INDUSTRIAL PLANTS']",http://www.nytimes.com/2004/01/03/business/manufacturing-index-reaches-20-year-high.html,1/3/04,News,4fd29cce8eb7c8105d87e6dd
Greenspan Says Recovery Vindicates Fed's Actions,U.S.,[],455,"Alan Greenspan, the chairman of the Federal Reserve, claimed victory on Saturday in the Fed's three-year battle to limit the damage from the 1990's stock market bubble.    Speaking to an annual conference of economists here, Mr. Greenspan suggeste...",The New York Times,"[u'RECESSION AND DEPRESSION', u'LABOR', u'UNITED STATES ECONOMY', u'CREDIT', u'STOCKS AND BONDS', u'UNEMPLOYMENT']",http://www.nytimes.com/2004/01/04/us/greenspan-says-recovery-vindicates-fed-s-actions.html,1/4/04,News,4fd23a1f8eb7c8105d7ce87a
Hong Kong's Rebound Is Tied To China,Business,"[u'HONG KONG', u'CHINA']",762,"WHEN SARS spread here last spring, employees at Lee Fung China Ware, a large store that sells porcelain, did not see a single overseas tourist for two months, and sales to local residents plunged.     Business has mostly recovered this winter, but...",The New York Times,"[u'ECONOMIC CONDITIONS AND TRENDS', u'SARS (SEVERE ACUTE RESPIRATORY SYNDROME)']",http://www.nytimes.com/2004/01/04/business/economic-view-hong-kong-s-rebound-is-tied-to-china.html,1/4/04,News,4fd27aa58eb7c8105d83f3ac
A Designer Lets Loose In the 'Year of the Car',Business,[],1944,"WHEN the Ford Motor Company landed J Mays as design chief in 1997, it was considered something of a coup. Well spoken and well coiffed, Mr. Mays was among the most celebrated and daring young designers in the business. In his previous job, he had ...",The New York Times,"[u'AUTOMOBILES', u'DESIGN', u'UTILITY VEHICLES AND OTHER LIGHT TRUCKS']",http://www.nytimes.com/2004/01/04/business/a-designer-lets-loose-in-the-year-of-the-car.html,1/4/04,News,4fd24f198eb7c8105d7f1af1
The Joyless Recovery,Business,[u'ROCKFORD (ILL)'],2606,"THE stock market is surging and the economy appears to be booming, but Judith Pike is getting out of business. ''I'm finished; I'm out of here,'' said Mrs. Pike, owner of Acme Grinding, whose customers have been vanishing and whose work force has ...",The New York Times,"[u'LABOR', u'UNITED STATES ECONOMY', u'UNEMPLOYMENT']",http://www.nytimes.com/2004/01/04/business/the-joyless-recovery.html,1/4/04,News,4fd235298eb7c8105d7c6c3c
NEWS SUMMARY,New York and Region,[],1114,INTERNATIONAL   A3-11    New Afghan Constitution After Decades of War  Delegates at a national meeting approved a new Constitution for Afghanistan after three weeks of often tense debate. Their decision heralded a new era of democracy after a quar...,The New York Times,[],http://www.nytimes.com/2004/01/05/nyregion/news-summary-836915.html,1/5/04,Summary,4fd23a178eb7c8105d7ce20c
Year of Spending Dangerously,Opinion,[],658,"Investors made 2003 the year of living dangerously, shaking off wartime concerns and disclosures of scandals corrupting the very heart of the marketplace -- from the New York Stock Exchange to the mutual fund industry -- to break a three-year losi...",The New York Times,"[u'INTERNATIONAL TRADE AND WORLD MARKET', u'UNITED STATES ECONOMY', u'EDITORIALS', u'FINANCES', u'ELECTION ISSUES', u'PROTECTIONISM (TRADE)', u'BUDGETS AND BUDGETING']",http://www.nytimes.com/2004/01/05/opinion/year-of-spending-dangerously.html,1/5/04,Editorial,4fd23c0d8eb7c8105d7d10cf
Fed Governor Defends Call To Hold Rates At Low Level,Business,[],506,"A governor of the Federal Reserve Board, Ben S. Bernanke, argued Sunday that the central bank was correctly holding down interest rates in order to nurture an economic recovery in which the inflation rate ''is very nearly at the bottom of the acce...",The New York Times,"[u'UNITED STATES ECONOMY', u'INTEREST RATES']",http://www.nytimes.com/2004/01/05/business/fed-governor-defends-call-to-hold-rates-at-low-level.html,1/5/04,News,4fd23c0d8eb7c8105d7d10cd
The Broken Promise of Nafta,Opinion,[u'MEXICO'],1271,"The celebrations of Nafta's 10th anniversary are far more muted than those involved in its creation might have hoped. In the United States, the North American Free Trade Agreement has failed to fulfill the most dire warnings of its opponents and t...",The New York Times,"[u'NORTH AMERICAN FREE TRADE AGREEMENT', u'INTERNATIONAL TRADE AND WORLD MARKET', u'FREE TRADE AGREEMENT OF THE AMERICAS', u'PROTECTIONISM (TRADE)', u'FREE PORTS AND TRADING ZONES']",http://www.nytimes.com/2004/01/06/opinion/the-broken-promise-of-nafta.html,1/6/04,Op-Ed,4fd24bbb8eb7c8105d7eaef0
Automakers Unveil Plans for More Hybrid Models,Business,[],1168,"The number of fuel-efficient hybrid models available in the United States will more than double in the next year, to seven from three, with new entries coming from Toyota, Honda and Ford Motor.     Two of the new vehicles were announced at the Nor...",The New York Times,"[u'AUTOMOBILES', u'ELECTRIC VEHICLES', u'NORTH AMERICAN INTERNATIONAL AUTO SHOW', u'TRADE SHOWS AND FAIRS']",http://www.nytimes.com/2004/01/06/business/automakers-unveil-plans-for-more-hybrid-models.html,1/6/04,News,4fd27afd8eb7c8105d83fc4d
BUSINESS DIGEST,Business,[],534,"Agriculture Rivals Are Said To Have Met on Seed Prices  Senior executives at Monsanto and Pioneer Hi-Bred International met repeatedly in the 1990's and agreed to charge higher prices for genetically modified seeds, according to interviews with fo...",The New York Times,[],http://www.nytimes.com/2004/01/06/business/business-digest-848760.html,1/6/04,Summary,4fd27afd8eb7c8105d83fc50
American Investors Put Japan's Resorts in Play,Business,[u'JAPAN'],1364,"With his father murmuring encouragement, a little boy in a yellow polo shirt whacked at a golf ball in a practice sand trap. Nearby, his mother worked on her putting.    The family scene at the Phoenix Seagaia Resort's new golf academy here recent...",The New York Times,"[u'FOREIGN INVESTMENTS', u'MERGERS, ACQUISITIONS AND DIVESTITURES', u'GOLF', u'BANKRUPTCIES']",http://www.nytimes.com/2004/01/06/business/american-investors-put-japan-s-resorts-in-play.html,1/6/04,News,4fd24dc28eb7c8105d7eedab
Second Thoughts on Free Trade,Opinion,[],911,"'I was brought up, like most Englishmen, to respect free trade not only as an economic doctrine which a rational and instructed person could not doubt but almost as a part of the moral law,'' wrote John Maynard Keynes in 1933. And indeed, to this...",The New York Times,"[u'INTERNATIONAL TRADE AND WORLD MARKET', u'FREE PORTS AND TRADING ZONES']",http://www.nytimes.com/2004/01/06/opinion/second-thoughts-on-free-trade.html,1/6/04,Op-Ed,4fd23c138eb7c8105d7d15b6
Detroit to Focus on Tastes as Its Market Share Decreases,Business,[],746,"The strengthening economy and generous sales incentives led to robust car sales last year, automakers said Monday, but the American companies' share of the market continued to shrink as import brands like Toyota, Honda and BMW posted the biggest g...",The New York Times,"[u'SALES', u'AUTOMOBILES', u'INTERNATIONAL TRADE AND WORLD MARKET', u'INDUSTRY PROFILES']",http://www.nytimes.com/2004/01/06/business/detroit-to-focus-on-tastes-as-its-market-share-decreases.html,1/6/04,News,4fd23c138eb7c8105d7d15ae
Rubin Gets Shrill,Opinion,[u'UNITED STATES'],740,"Argentina retained the confidence of international investors almost to the end of the 1990's. Analysts shrugged off its large budget and trade deficits; business-friendly, free-market policies would, they insisted, allow the country to grow out of...",The New York Times,"[u'FINANCES', u'ELECTION ISSUES', u'BUDGETS AND BUDGETING', u'PRESIDENTIAL ELECTION OF 2004']",http://www.nytimes.com/2004/01/06/opinion/rubin-gets-shrill.html,1/6/04,Op-Ed,4fd27aa28eb7c8105d83f113
Trade Curbs Affect More Than Ranchers,Business,[u'CANADA'],964,"The discovery of two cases of mad cow disease on North American farms in the last nine months has sent ripples through more than Canada's beef industry, creating a surplus of milk because dairy cows can no longer be exported to the United States a...",The New York Times,"[u'AGRICULTURE', u'INTERNATIONAL TRADE AND WORLD MARKET', u'EMBARGOES AND ECONOMIC SANCTIONS', u'MEAT', u'PET FOODS', u'MAD COW DISEASE (BOVINE SPONGIFORM ENCEPHALOPATHY)', u'ECONOMIC CONDITIONS AND TRENDS', u'DAIRY PRODUCTS', u'FARMERS', u'LIVESTOCK', u'SHORTAGES', u'LIVESTOCK DISEASES', u'FOOD CONTAMINATION AND POISONING']",http://www.nytimes.com/2004/01/07/business/trade-curbs-affect-more-than-ranchers.html,1/7/04,News,4fd27a9c8eb7c8105d83ebe4
"Trials, Trials, Trials, and Then What?",Health; Business,[],1419,"With the trials of iconic corporate executives soon to begin -- Martha Stewart and WorldCom's Scott D. Sullivan, among others -- many investors are wondering if 2004 will be the beginning of the end of the corporate scandal season. Or will the new...",The New York Times,"[u'FRAUDS AND SWINDLING', u'DRUGS (PHARMACEUTICALS)', u'ERBITUX (DRUG)', u'TESTS AND TESTING', u'ACCOUNTING AND ACCOUNTANTS', u'SECURITIES AND COMMODITIES VIOLATIONS', u'ETHICS', u'SUITS AND LITIGATION', u'CANCER', u'INSIDER TRADING', u'RESEARCH', u'STOCKS AND BONDS', u'BANKRUPTCIES']",http://www.nytimes.com/2004/01/08/business/trials-trials-trials-and-then-what.html,1/8/04,An Analysis; News Analysis,4fd23c148eb7c8105d7d1641
A restaurant known for its humorous ads hands that task to the New York office of a British agency.,Business,[],847,"A RESTAURANT chain known for its irreverent advertising, Chipotle Mexican Grill, has hired the new New York office of an irreverent British agency, Mother, to create its campaigns.    Chipotle, majority owned by McDonald's, will formally announce ...",The New York Times,"[u'RESTAURANTS', u'ADVERTISING AND MARKETING']",http://www.nytimes.com/2004/01/08/business/media-business-advertising-restaurant-known-for-its-humorous-ads-hands-that-task.html,1/8/04,News,4fd235278eb7c8105d7c6ab0
Excerpts From Bush's Address on Allowing Immigrants to Fill Some Jobs,U.S.,[u'UNITED STATES'],966,"Following are excerpts from President Bush's address at the White House on Wednesday about immigration changes, as recorded by The New York Times:      As a nation that values immigration and depends on immigration, we should have immigration laws...",The New York Times,"[u'ILLEGAL ALIENS', u'FOREIGN LABOR', u'LABOR', u'MIGRANT LABOR', u'IMMIGRATION AND REFUGEES', u'LAW AND LEGISLATION', u'AMNESTIES AND PARDONS']",http://www.nytimes.com/2004/01/08/us/bush-immigration-excerpts-bush-s-address-allowing-immigrants-fill-some-jobs.html,1/8/04,Text,4fd24bbc8eb7c8105d7eaf84
"At the Luxury End, Holiday Sales Were Hopping",Business,[],1251,"The nation's high-rolling shoppers, full of pent-up desire to spend, propelled luxury stores like Neiman Marcus, Tiffany and Saks Fifth Avenue to hearty increases last month, but over all, many merchants were disappointed by the holiday season. St...",The New York Times,"[u'SALES', u'BLOOMBERG COMPOSITE RETAIL INDEX', u'RETAIL STORES AND TRADE', u'CHRISTMAS']",http://www.nytimes.com/2004/01/09/business/at-the-luxury-end-holiday-sales-were-hopping.html,1/9/04,News,4fd2346d8eb7c8105d7c5820
NEWS SUMMARY,New York and Region,[],891,"INTERNATIONAL   A3-10    Helicopter Crash in Iraq Kills 9 U.S. Soldiers  An American Black Hawk helicopter crashed near Falluja, killing all nine soldiers aboard. The United States military said the cause was still under investigation, but witness...",The New York Times,[],http://www.nytimes.com/2004/01/09/nyregion/news-summary-892998.html,1/9/04,Summary,4fd235258eb7c8105d7c68e3
Currency Wars: Europe Watches While Others Play by Different Rules,Business,"[u'JAPAN', u'EUROPE', u'CHINA']",617,"WHAT happens if the world won't let the dollar fall? That question may sound odd given the run of headlines about the plunging dollar, but the reality is that the dollar is still strong where it counts.     And that is bad news for Europe....",The New York Times,"[u'INTERNATIONAL TRADE AND WORLD MARKET', u'CURRENCY', u'INTEREST RATES', u'CREDIT', u'ECONOMIC CONDITIONS AND TRENDS']",http://www.nytimes.com/2004/01/09/business/currency-wars-europe-watches-while-others-play-by-different-rules.html,1/9/04,News,4fd24bba8eb7c8105d7eadaf
"As Far as Jobs Go, Bush Can Only Wait",Business,[],965,"The stage had been set to celebrate the revival of jobs.    With a phalanx of women entrepreneurs at his side and a billboard covered with the word ''Jobs!'' behind him, President Bush proclaimed his confidence about the economy here on Friday. Bu...",The New York Times,"[u'LABOR', u'UNITED STATES ECONOMY', u'ELECTION ISSUES', u'UNEMPLOYMENT', u'PRESIDENTIAL ELECTION OF 2004']",http://www.nytimes.com/2004/01/10/business/as-far-as-jobs-go-bush-can-only-wait.html,1/10/04,An Analysis; News Analysis,4fd27a9d8eb7c8105d83ed35
Big Three Hope Rising Economy Will Lift All Vehicles,Business,[],833,"The Big Three are putting a bullish face on 2004, predicting that a wave of new products, aided by an improving economy, will increase earnings and might even cool off their price war.    The first week of the year is always a big one in Detroit, ...",The New York Times,"[u'SALES', u'AUTOMOBILES', u'INDUSTRY PROFILES', u'NORTH AMERICAN INTERNATIONAL AUTO SHOW', u'TRADE SHOWS AND FAIRS']",http://www.nytimes.com/2004/01/10/business/big-three-hope-rising-economy-will-lift-all-vehicles.html,1/10/04,News,4fd2346b8eb7c8105d7c569a
A Sad Silence as the Iraq Toll Rises,Opinion,[u'IRAQ'],129,"To the Editor:    Re ''9 Soldiers Dead in Crash in Iraq'' (front page, Jan. 9):    With all the daily reports of United States casualties in Iraq, are Americans no longer complaining, or have we become uncaring? Have we given up and simply accepte...",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2004/01/10/opinion/l-a-sad-silence-as-the-iraq-toll-rises-909149.html,1/10/04,Letter,4fd23a198eb7c8105d7ce350
Free-Market Iraq? Not So Fast,Arts,[u'IRAQ'],1561,"There is no doubt about American intentions for the Iraqi economy. As Defense Secretary Donald H. Rumsfeld has said, ''Market systems will be favored, not Stalinist command systems.''    And so the American-led coalition has fired off a series of ...",The New York Times,"[u'FOREIGN INVESTMENTS', u'ECONOMIC CONDITIONS AND TRENDS']",http://www.nytimes.com/2004/01/10/arts/free-market-iraq-not-so-fast.html,1/10/04,News,4fd27a9d8eb7c8105d83ed30
"The No-Bang, All-Whimper Recovery",Business,[],606,"THE jobs report on Friday was a stark reminder to investors of why trusting the consensus view of anything economic -- the stock market, interest rates, commodity prices -- can be such a peril.      Economists had forecast an increase of 150,000 j...",The New York Times,"[u'LABOR', u'UNITED STATES ECONOMY', u'UNEMPLOYMENT', u'STOCKS AND BONDS']",http://www.nytimes.com/2004/01/11/business/market-watch-the-no-bang-all-whimper-recovery.html,1/11/04,News,4fd24bbd8eb7c8105d7eb0a5
"Detroit Focuses on Cars, and Asia on Trucks",Automobiles,[],867,"THIS is already shaping up as a topsy-turvy year for the auto industry, which brought its movers and shakers together here last week for the opening of the 2004 North American International Auto Show.      The domestic automakers, experts in truck...",The New York Times,"[u'AUTOMOBILES', u'UTILITY VEHICLES AND OTHER LIGHT TRUCKS', u'NORTH AMERICAN INTERNATIONAL AUTO SHOW', u'TRADE SHOWS AND FAIRS']",http://www.nytimes.com/2004/01/11/automobiles/detroit-focuses-on-cars-and-asia-on-trucks.html,1/11/04,News,4fd24f188eb7c8105d7f1a97
Investing; What to Do if Inflation Tries to Spoil the Party,Business,[],1528,"WHILE the nation's central bankers appear convinced that the economy can continue to grow briskly without kicking up inflation fears, a growing number of money managers are not so sure.      Many financial planners say that for prudent investors, ...",The New York Times,"[u'UNITED STATES ECONOMY', u'PRICES (FARES, FEES AND RATES)', u'STOCKS AND BONDS']",http://www.nytimes.com/2004/01/11/business/investing-what-to-do-if-inflation-tries-to-spoil-the-party.html,1/11/04,News,4fd27aa58eb7c8105d83f31e
Facing New Challenges,New York and Region,[u'PORT CHESTER (NY)'],2710,"EACH day at 4 a.m., as the lights come on in the back of Nino International Bakery, Robinson Plasencia begins another day. After fleeing from Peru 15 years ago when vandals destroyed his family's business there, Mr. Plasencia struggled to make his...",The New York Times,"[u'SOCIAL CONDITIONS AND TRENDS', u'ILLEGAL ALIENS', u'IMMIGRATION AND REFUGEES', u'TERRORISM']",http://www.nytimes.com/2004/01/11/nyregion/facing-new-challenges.html,1/11/04,News,4fd235298eb7c8105d7c6bbf
A Babe in Dow Land,Style; Books,[],1728,"IN David Denby's office at The New Yorker magazine, two headlines from The Wall Street Journal share a frame. A March 2000 headline, accompanied by a cartoon sketch of a bull flexing his bicep, blares, ''Nasdaq Pumps Up to 5000.''     The other, f...",The New York Times,"[u'BOOKS AND LITERATURE', u'STOCKS AND BONDS']",http://www.nytimes.com/2004/01/11/style/a-babe-in-dow-land.html,1/11/04,News,4fd2346f8eb7c8105d7c5a57
Mutual Funds Report; Surprise: Year Has A Happy Ending,Business,[],1143,"THE last quarter of 2003 turned out to be much better for mutual funds than many investors might have thought.     As September wound down, some market strategists worried about the damage being done to investor confidence by the spreading mutual ...",The New York Times,"[u'MUTUAL FUNDS', u'STOCKS AND BONDS']",http://www.nytimes.com/2004/01/11/business/mutual-funds-report-surprise-year-has-a-happy-ending.html,1/11/04,News,4fd24f188eb7c8105d7f1a8e
Free Trade: Winners and Losers,Opinion,[],128,"To the Editor:    Charles Schumer and Paul Craig Roberts (Op-Ed, Jan. 6) illustrate their doubts about free trade in the modern global economy with the following example: ''Within five years the number of radiologists in this country is expected t...",The New York Times,"[u'INTERNATIONAL TRADE AND WORLD MARKET', u'PRICES (FARES, FEES AND RATES)', u'FREE PORTS AND TRADING ZONES', u'MEDICINE AND HEALTH', u'TESTS AND TESTING']",http://www.nytimes.com/2004/01/11/opinion/l-free-trade-winners-and-losers-923230.html,1/11/04,Letter,4fd27aa58eb7c8105d83f358
"Fast Gaining in Technology, China Poses Trade Worries",Technology; Business,"[u'JAPAN', u'EUROPE', u'CHINA']",1472,"To high-technology companies, China has been a land of seemingly pure promise in recent years. Not only is it a fast-growing consumer market, but it has also become a low-cost workshop for assembling technology products for American, European and ...",The New York Times,"[u'DVD (DIGITAL VERSATILE DISK)', u'COMPUTER CHIPS', u'RECORDING EQUIPMENT', u'INTERNATIONAL TRADE AND WORLD MARKET', u'TAXATION', u'CELLULAR TELEPHONES', u'TELEPHONES AND TELECOMMUNICATIONS', u'COMPUTERS AND THE INTERNET']",http://www.nytimes.com/2004/01/13/business/fast-gaining-in-technology-china-poses-trade-worries.html,1/13/04,News,4fd29cd08eb7c8105d87e854
Will Antiques Regain Their Polish?,Home and Garden; Style,[u'NEW YORK CITY'],1796,"THE SUPER BOWL of antiques shows, the Winter Antiques Show, opens tonight on Park Avenue at the Seventh Regiment Armory, celebrating its 50th year. It once again pits George III against 18th- century America, American Indians against the colonials...",The New York Times,"[u'SALES', u'SEVENTH REGIMENT ARMORY (NYC)', u'ANTIQUES', u'PRICES (FARES, FEES AND RATES)', u'WINTER ANTIQUES SHOW']",http://www.nytimes.com/2004/01/15/garden/will-antiques-regain-their-polish.html,1/15/04,News,4fd24bba8eb7c8105d7eadd0
Shares Rise Broadly; Technology Issues Fall After Hours,Business,[],778,"Shares were broadly higher yesterday, with the Standard & Poor's 500-stock index advancing for the sixth time in eight trading days.    A regional report of economic strength from the Federal Reserve contributed to the market's strength, as did an...",Bloomberg News,"[u""STANDARD & POOR'S 500-STOCK INDEX"", u'FINANCES', u'INTEREST RATES', u'CREDIT', u'NASDAQ COMPOSITE INDEX', u'STOCKS AND BONDS', u'DOW JONES INDUSTRIAL AVERAGE', u'GOVERNMENT BONDS']",http://www.nytimes.com/2004/01/15/business/the-markets-stocks-bonds-shares-rise-broadly-technology-issues-fall-after-hours.html,1/15/04,News,4fd27aa08eb7c8105d83ef95
Building Budgets,U.S.,[],2951,"In this lesson, students learn about New York City's bid to host the 2012 Olympic Games. They then estimate budget allocations for such a proposal while practicing the calculation of percentages....",The New York Times,[],http://learning.blogs.nytimes.com/2004/01/15/building-budgets/,1/15/04,Blog,4fd363c18eb7c8105d8b2661
