,DATE,Log GDP ,Log GDP ,Log GDP ,Log GDP ,UR,UR,UR,UR,UR,UR,UR,UR,UR,UR,UR,UR,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,0,0,0,0,0,0,0,0,0,0,0,0,pos ,,,,,,,,,,,,,neutral,,,,,,,,,,,,,0
25,1-Feb-80,0.001123262,0.003110779,0.000526262,0.00085823,6.9,5.7,5.6,5.6,5.7,5.9,5.9,6,5.2,5.5,6.1,6.4,,,,,,,,,,,,,,0.006988887,-0.003237636,-0.001442669,0.017007621,0.008644306,0.013452644,-0.007892171,0.022545562,0.023503736,-0.009527616,-0.050993843,0.053148482,0.007265446,-0.1,6,-2.3,1.2,-4.6,2.2,4.1,-5.4,-2.3,2.1,-2.4,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.4
26,1-Mar-80,0.001123262,0.003110779,0.000526262,0.00085823,6.8,6.9,5.7,5.6,5.6,5.7,5.9,5.9,6,5.2,5.5,6.1,,,,,,,,,,,,,,0.064300053,0.006988887,-0.003237636,-0.001442669,0.017007621,0.008644306,0.013452644,-0.007892171,0.022545562,0.023503736,-0.009527616,-0.050993843,0.053148482,-10.4,-0.1,6,-2.3,1.2,-4.6,2.2,4.1,-5.4,-2.3,2.1,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8
27,1-Apr-80,0.001400005,0.001123262,0.003110779,0.000526262,6.6,6.8,6.9,5.7,5.6,5.6,5.7,5.9,5.9,6,5.2,5.5,,,,,,,,,,,,,,0.080172912,0.064300053,0.006988887,-0.003237636,-0.001442669,0.017007621,0.008644306,0.013452644,-0.007892171,0.022545562,0.023503736,-0.009527616,-0.050993843,-3.8,-10.4,-0.1,6,-2.3,1.2,-4.6,2.2,4.1,-5.4,-2.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
28,1-May-80,0.001400005,0.001123262,0.003110779,0.000526262,6.7,6.6,6.8,6.9,5.7,5.6,5.6,5.7,5.9,5.9,6,5.2,,,,,,,,,,,,,,0.016979717,0.080172912,0.064300053,0.006988887,-0.003237636,-0.001442669,0.017007621,0.008644306,0.013452644,-0.007892171,0.022545562,0.023503736,-0.009527616,-1,-3.8,-10.4,-0.1,6,-2.3,1.2,-4.6,2.2,4.1,-5.4,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,7
29,1-Jun-80,0.001400005,0.001123262,0.003110779,0.000526262,7.1,6.7,6.6,6.8,6.9,5.7,5.6,5.6,5.7,5.9,5.9,6,,,,,,,,,,,,,,-0.025893672,0.016979717,0.080172912,0.064300053,0.006988887,-0.003237636,-0.001442669,0.017007621,0.008644306,0.013452644,-0.007892171,0.022545562,0.023503736,7,-1,-3.8,-10.4,-0.1,6,-2.3,1.2,-4.6,2.2,4.1,-5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
30,1-Jul-80,-0.00889633,0.001400005,0.001123262,0.003110779,7.8,7.1,6.7,6.6,6.8,6.9,5.7,5.6,5.6,5.7,5.9,5.9,,,,,,,,,,,,,,-0.028934643,-0.025893672,0.016979717,0.080172912,0.064300053,0.006988887,-0.003237636,-0.001442669,0.017007621,0.008644306,0.013452644,-0.007892171,0.022545562,3.6,7,-1,-3.8,-10.4,-0.1,6,-2.3,1.2,-4.6,2.2,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,5
31,1-Aug-80,-0.00889633,0.001400005,0.001123262,0.003110779,7.9,7.8,7.1,6.7,6.6,6.8,6.9,5.7,5.6,5.6,5.7,5.9,,,,,,,,,,,,,,-0.0371704,-0.028934643,-0.025893672,0.016979717,0.080172912,0.064300053,0.006988887,-0.003237636,-0.001442669,0.017007621,0.008644306,0.013452644,-0.007892171,5,3.6,7,-1,-3.8,-10.4,-0.1,6,-2.3,1.2,-4.6,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
32,1-Sep-80,-0.00889633,0.001400005,0.001123262,0.003110779,7.6,7.9,7.8,7.1,6.7,6.6,6.8,6.9,5.7,5.6,5.6,5.7,,,,,,,,,,,,,,-0.039934407,-0.0371704,-0.028934643,-0.025893672,0.016979717,0.080172912,0.064300053,0.006988887,-0.003237636,-0.001442669,0.017007621,0.008644306,0.013452644,6.4,5,3.6,7,-1,-3.8,-10.4,-0.1,6,-2.3,1.2,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
33,1-Oct-80,-0.00065949,-0.00889633,0.001400005,0.001123262,7.2,7.6,7.9,7.8,7.1,6.7,6.6,6.8,6.9,5.7,5.6,5.6,,,,,,,,,,,,,,-0.036950636,-0.039934407,-0.0371704,-0.028934643,-0.025893672,0.016979717,0.080172912,0.064300053,0.006988887,-0.003237636,-0.001442669,0.017007621,0.008644306,1.3,6.4,5,3.6,7,-1,-3.8,-10.4,-0.1,6,-2.3,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
34,1-Nov-80,-0.00065949,-0.00889633,0.001400005,0.001123262,7.1,7.2,7.6,7.9,7.8,7.1,6.7,6.6,6.8,6.9,5.7,5.6,,,,,,,,,,,,,,-0.005908503,-0.036950636,-0.039934407,-0.0371704,-0.028934643,-0.025893672,0.016979717,0.080172912,0.064300053,0.006988887,-0.003237636,-0.001442669,0.017007621,1.7,1.3,6.4,5,3.6,7,-1,-3.8,-10.4,-0.1,6,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.2
