headline,section,locations,word_count,snippet,source,subjects,url,desk,date,type,id
Italy Post Office Listing May Come After Summer-CEO,Business Day,[],259,"The listing of a 40 percent stake in Italy's Poste Italiane, approved on Friday, could come in September or October, slightly later than targeted by the government, the head of the state-owned post office told a newspaper.",Reuters,[],http://www.nytimes.com/reuters/2014/01/25/business/25reuters-italy-privatisation.html,,2014-01-25,News,52e3b5cd38f0d87ecf26603b
Spain Wants Higher Tax Revenue From Companies-Minister,Business Day,[],317,"Spain wants to increase its tax revenue from companies by scrapping exemptions which enable firms based in the country to pay some of the lowest taxes in Europe, Economy Minister Luis de Guindos said in newspaper interviews published on Saturday.",Reuters,[],http://www.nytimes.com/reuters/2014/01/25/business/25reuters-spain-taxes.html,,2014-01-25,News,52e3bab938f0d87ecf26603f
Carney-Exceptional Stimulus Remains Very Relevant,Business Day,[],127,"Exceptional policy stimulus remains very relevant for the British economy and even when the central bank raises interest rates it will do so gradually, Bank of England Governor Mark Carney said on Saturday.",Reuters,[],http://www.nytimes.com/reuters/2014/01/25/business/25reuters-davos-britain-carney.html,,2014-01-25,News,52e3c76138f0d87ecf26605a
Germany's Schaeuble Raps EU's Rehn for 'Nonsense' Comments on Rebalancing,Business Day,[],753,"German Finance Minister Wolfgang Schaeuble described as ""nonsense"" EU Economic and Monetary Affairs Commission Olli Rehn's view that prolonged low inflation in the euro zone would make the necessary economic rebalancing harder to achieve.",Reuters,[],http://www.nytimes.com/reuters/2014/01/25/business/25reuters-davos-schaeuble.html,,2014-01-25,News,52e3ca3138f0d87ecf266061
Obama to Outline New Plans for Jobless Next Week,U.S.,[],479,"President Barack Obama will announce a new plan next week to help Americans who continue to struggle to find jobs even as the economy recovers from recession, his senior adviser, Dan Pfeiffer, said on Saturday.",Reuters,[],http://www.nytimes.com/reuters/2014/01/25/us/25reuters-usa-obama-unemployment.html,,2014-01-25,News,52e3ef7738f0d8749cf46fdc
Hungary's Leftist Opposition Faces Tough Election Campaign,World,[],540,Hungary's leftist opposition alliance launched its election campaign on Saturday but faces an uphill struggle to defeat Prime Minister Viktor Orban's ruling Fidesz party on April 6.,Reuters,[],http://www.nytimes.com/reuters/2014/01/25/world/europe/25reuters-hungary-election-opposition.html,,2014-01-25,News,52e3f0dd38f0d8749cf46fdf
French President Hollande Announces Separation From Trierweiler,World,[],545,French President Francois Hollande announced his separation from first lady Valerie Trierweiler on Saturday following a media storm over allegations he is having an affair with an actress.,Reuters,[],http://www.nytimes.com/reuters/2014/01/25/world/asia/25reuters-france-hollande-separation.html,,2014-01-25,News,52e3fd8438f0d8749cf46ff6
Ukraine President Offers Government Posts to Opposition Leaders,Business Day,[],198,"Ukrainian President Viktor Yanukovich offered two opposition leaders top government posts on Saturday, the presidential website said, after the two sides met for talks aimed at seeking an end to a violent political crisis.",Reuters,[],http://www.nytimes.com/reuters/2014/01/25/business/25reuters-ukraine-offer.html,,2014-01-25,News,52e4027038f0d8749cf47003
Thai Protesters Disrupt Early Voting for Disputed Election,World,[],682,"Thai anti-government protesters surrounded almost half of the polling stations in Bangkok on Sunday, election officials said, chaining doors shut and forcing the cancellation of advance voting in many centers for a disputed election next week.",Reuters,[],http://www.nytimes.com/reuters/2014/01/25/world/asia/25reuters-thailand-politics-vote.html,,2014-01-25,News,52e48c6238f0d8749cf470e6
"Thai Anti-Government Protester Killed, Adds to Doubts Over Election",World,[],855,A Thai anti-government protest leader was shot and killed in Bangkok on Sunday when violence erupted as demonstrators blocked early voting in many areas of the capital ahead of a disputed election next week.,Reuters,[],http://www.nytimes.com/reuters/2014/01/26/world/asia/26reuters-thailand-politics-vote.html,,2014-01-26,News,52e4b1a538f0d8749cf47113
Nepal Makes Headway in Path to Choose New PM,World,[],312,"Social democrat Sushil Koirala was named as candidate for the Himalayan nation's prime minister by the Nepali Congress party on Sunday, clearing a major hurdle for the formation of a new government two months after an election.",Reuters,[],http://www.nytimes.com/reuters/2014/01/26/world/asia/26reuters-nepal-politics.html,,2014-01-26,News,52e4cc5c38f0d8749cf47129
High Stakes for Putin at Costly Sochi Games,Sports,[],1433,The Sochi Winter Olympics are meant to be Vladimir Putin's crowning achievement as Russian leader but are in danger of becoming a symbol of his country's problems.,Reuters,[],http://www.nytimes.com/reuters/2014/01/26/sports/olympics/26reuters-olympics.html,,2014-01-26,News,52e4cdc438f0d8749cf4712a
