DATE,,,,IC4WSA,,
11,9,1974,,412500,,
11,16,1974,,427500,,
11,23,1974,,453500,,
11,30,1974,,470500,,
12,7,1974,,492250,,
12,14,1974,,507500,,
12,21,1974,,508250,,
12,28,1974,,524000,,
1,4,1975,,506000,,
1,11,1975,,517000,,
1,18,1975,,530500,,
1,25,1975,,535000,,
2,1,1975,,560750,,
2,8,1975,,558500,,
2,15,1975,,547250,,
2,22,1975,,544500,,
3,1,1975,,541250,,
3,8,1975,,542750,,
3,15,1975,,543000,,
3,22,1975,,544500,,
3,29,1975,,546750,,
4,5,1975,,543250,,
4,12,1975,,540500,,
4,19,1975,,535750,,
4,26,1975,,525250,,
5,3,1975,,517250,,
5,10,1975,,514000,,
5,17,1975,,509750,,
5,24,1975,,504750,,
5,31,1975,,497250,,
6,7,1975,,502750,,
6,14,1975,,498500,,
6,21,1975,,499500,,
6,28,1975,,495500,,
7,5,1975,,469000,,
7,12,1975,,456250,,
7,19,1975,,443250,,
7,26,1975,,442000,,
8,2,1975,,449750,,
8,9,1975,,453000,,
8,16,1975,,452750,,
8,23,1975,,453500,,
8,30,1975,,451500,,
9,6,1975,,448500,,
9,13,1975,,451500,,
9,20,1975,,445500,,
9,27,1975,,445250,,
10,4,1975,,440000,,
10,11,1975,,433250,,
10,18,1975,,426000,,
10,25,1975,,421250,,
11,1,1975,,418250,,
11,8,1975,,414750,,
11,15,1975,,410250,,
11,22,1975,,404000,,
11,29,1975,,397250,,
12,6,1975,,386750,,
12,13,1975,,382250,,
12,20,1975,,373250,,
12,27,1975,,374250,,
1,3,1976,,371500,,
1,10,1976,,380000,,
1,17,1976,,381250,,
1,24,1976,,374250,,
1,31,1976,,373500,,
2,7,1976,,361250,,
2,14,1976,,354750,,
2,21,1976,,350750,,
2,28,1976,,348250,,
3,6,1976,,347000,,
3,13,1976,,351000,,
3,20,1976,,356250,,
3,27,1976,,360500,,
4,3,1976,,368500,,
4,10,1976,,371750,,
4,17,1976,,370000,,
4,24,1976,,370250,,
5,1,1976,,371500,,
5,8,1976,,377000,,
5,15,1976,,382250,,
5,22,1976,,389000,,
5,29,1976,,393250,,
6,5,1976,,390000,,
6,12,1976,,396250,,
6,19,1976,,397500,,
6,26,1976,,393750,,
7,3,1976,,396750,,
7,10,1976,,388000,,
7,17,1976,,389750,,
7,24,1976,,391500,,
7,31,1976,,390000,,
8,7,1976,,391500,,
8,14,1976,,385500,,
8,21,1976,,387000,,
8,28,1976,,388500,,
9,4,1976,,399250,,
9,11,1976,,399500,,
9,18,1976,,400250,,
9,25,1976,,407500,,
10,2,1976,,404250,,
10,9,1976,,411250,,
10,16,1976,,411250,,
10,23,1976,,407750,,
10,30,1976,,409250,,
11,6,1976,,404000,,
11,13,1976,,399000,,
11,20,1976,,398750,,
11,27,1976,,389500,,
12,4,1976,,392500,,
12,11,1976,,395500,,
12,18,1976,,384750,,
12,25,1976,,373750,,
1,1,1977,,368250,,
1,8,1977,,373500,,
1,15,1977,,374250,,
1,22,1977,,396750,,
1,29,1977,,407250,,
2,5,1977,,444500,,
2,12,1977,,471750,,
2,19,1977,,465750,,
2,26,1977,,450750,,
3,5,1977,,399750,,
3,12,1977,,369250,,
3,19,1977,,361750,,
3,26,1977,,360250,,
4,2,1977,,357500,,
4,9,1977,,362750,,
4,16,1977,,360750,,
4,23,1977,,365500,,
4,30,1977,,371750,,
5,7,1977,,373750,,
5,14,1977,,378750,,
5,21,1977,,378750,,
5,28,1977,,380250,,
6,4,1977,,375000,,
6,11,1977,,369250,,
6,18,1977,,365250,,
6,25,1977,,361250,,
7,2,1977,,358000,,
7,9,1977,,358750,,
7,16,1977,,360500,,
7,23,1977,,360500,,
7,30,1977,,364250,,
8,6,1977,,368500,,
8,13,1977,,366750,,
8,20,1977,,367250,,
8,27,1977,,367250,,
9,3,1977,,366250,,
9,10,1977,,366250,,
9,17,1977,,365000,,
9,24,1977,,368750,,
10,1,1977,,362250,,
10,8,1977,,363750,,
10,15,1977,,362750,,
10,22,1977,,361500,,
10,29,1977,,361750,,
11,5,1977,,362000,,
11,12,1977,,356000,,
11,19,1977,,352250,,
11,26,1977,,353500,,
12,3,1977,,353750,,
12,10,1977,,361250,,
12,17,1977,,361000,,
12,24,1977,,358500,,
12,31,1977,,357750,,
1,7,1978,,353250,,
1,14,1978,,349250,,
1,21,1978,,351250,,
1,28,1978,,351000,,
2,4,1978,,354500,,
2,11,1978,,362000,,
2,18,1978,,381250,,
2,25,1978,,383250,,
3,4,1978,,382000,,
3,11,1978,,378500,,
3,18,1978,,358000,,
3,25,1978,,349000,,
4,1,1978,,343500,,
4,8,1978,,340000,,
4,15,1978,,330500,,
4,22,1978,,326500,,
4,29,1978,,324250,,
5,6,1978,,321500,,
5,13,1978,,324750,,
5,20,1978,,328500,,
5,27,1978,,327000,,
6,3,1978,,321000,,
6,10,1978,,323250,,
6,17,1978,,321250,,
6,24,1978,,324250,,
7,1,1978,,333750,,
7,8,1978,,340000,,
7,15,1978,,346500,,
7,22,1978,,351250,,
7,29,1978,,350750,,
8,5,1978,,353000,,
8,12,1978,,353500,,
8,19,1978,,352000,,
8,26,1978,,348750,,
9,2,1978,,335750,,
9,9,1978,,331500,,
9,16,1978,,326250,,
9,23,1978,,323750,,
9,30,1978,,325000,,
10,7,1978,,326500,,
10,14,1978,,325000,,
10,21,1978,,328750,,
10,28,1978,,328250,,
11,4,1978,,321750,,
11,11,1978,,318750,,
11,18,1978,,319750,,
11,25,1978,,330500,,
12,2,1978,,345500,,
12,9,1978,,355500,,
12,16,1978,,356750,,
12,23,1978,,355000,,
12,30,1978,,350250,,
1,6,1979,,354000,,
1,13,1979,,365250,,
1,20,1979,,361500,,
1,27,1979,,357500,,
2,3,1979,,354750,,
2,10,1979,,346500,,
2,17,1979,,354000,,
2,24,1979,,358500,,
3,3,1979,,360250,,
3,10,1979,,361250,,
3,17,1979,,359250,,
3,24,1979,,357500,,
3,31,1979,,358750,,
4,7,1979,,384250,,
4,14,1979,,408750,,
4,21,1979,,416250,,
4,28,1979,,415500,,
5,5,1979,,387500,,
5,12,1979,,359250,,
5,19,1979,,350000,,
5,26,1979,,348000,,
6,2,1979,,343750,,
6,9,1979,,349000,,
6,16,1979,,350250,,
6,23,1979,,357750,,
6,30,1979,,366000,,
7,7,1979,,366750,,
7,14,1979,,371000,,
7,21,1979,,375000,,
7,28,1979,,379250,,
8,4,1979,,390250,,
8,11,1979,,394750,,
8,18,1979,,392750,,
8,25,1979,,393750,,
9,1,1979,,388000,,
9,8,1979,,386000,,
9,15,1979,,385250,,
9,22,1979,,384750,,
9,29,1979,,385000,,
10,6,1979,,393500,,
10,13,1979,,395750,,
10,20,1979,,400250,,
10,27,1979,,402250,,
11,3,1979,,398000,,
11,10,1979,,403250,,
11,17,1979,,409250,,
11,24,1979,,413250,,
12,1,1979,,418500,,
12,8,1979,,418750,,
12,15,1979,,414000,,
12,22,1979,,428250,,
12,29,1979,,431250,,
1,5,1980,,426000,,
1,12,1980,,424500,,
1,19,1980,,418250,,
1,26,1980,,414250,,
2,2,1980,,416750,,
2,9,1980,,421750,,
2,16,1980,,414000,,
2,23,1980,,418000,,
3,1,1980,,419250,,
3,8,1980,,417500,,
3,15,1980,,421750,,
3,22,1980,,423500,,
3,29,1980,,440000,,
4,5,1980,,451500,,
4,12,1980,,479500,,
4,19,1980,,507750,,
